ID,Start time,Completion time,Email,Name,Company Name,Fabric Code,Meters (quantity),"Delivery Date – When already finished, fill in correct date in the past",More fabrics?,Fabric Code2,Meters (quantity)2,"Delivery Date – When already finished, fill in correct date in the past2",More fabrics?2,Fabric Code3,Meters (quantity)3,"Delivery Date – When already finished, fill in correct date in the past3",More fabrics?3,Fabric Code4,Meters (quantity)4,"Delivery Date – When already finished, fill in correct date in the past4",More fabrics?4,Fabric Code5,Meters (quantity)5,"Delivery Date – When already finished, fill in correct date in the past5",More fabrics?5,Fabric Code6,Meters (quantity)6,"Delivery Date – When already finished, fill in correct date in the past6",More fabrics?6,Fabric Code7,Meters (quantity)7,"Delivery Date – When already finished, fill in correct date in the past7",More fabrics?7,Fabric Code8,Meters (quantity)8,"Delivery Date – When already finished, fill in correct date in the past8",More fabrics?8,Fabric Code9,Meters (quantity)9,"Delivery Date – When already finished, fill in correct date in the past9",More fabrics?9,Fabric Code10,Meters (quantity)10,"Delivery Date – When already finished, fill in correct date in the past10","Delivery Date – When already finished, fill in correct date in the past11",Fabric Code11,Meters (quantity)11,"Delivery Date – When already finished, fill in correct date in the past12",Fabric Code12,Meters (quantity)12,More fabrics?10,More fabrics?11,Question,More fabrics?12,Fabric Code13,Meters (quantity)13,"Delivery Date – When already finished, fill in correct date in the past13",More fabrics?13,"Delivery Date – When already finished, fill in correct date in the past14",Fabric Code14,Meters (quantity)14,More fabrics?14,"Delivery Date – When already finished, fill in correct date in the past15",Fabric Code15,Meters (quantity)15,More fabrics?15,Meters (quantity)16,More fabrics?17,Fabric Code16,"Delivery Date – When already finished, fill in correct date in the past16"
1,2022-04-28,2022-04-28,anonymous,,Lanificio Subalpino s.r.l.,253t900,100,2022-05-06,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-05-04,2022-05-04,anonymous,,Drago Lanificio in Biella,G208 002 11,51.7,2021-09-30,Yes,G027 733 02,101.7,2021-11-30,Yes,223 910 04,1134.2,2022-05-27,Yes,A407 058 17,668.2,2022-05-27,Yes,C071 001 52,90.5,2022-05-27,Yes,G234 001 02,434.9,2022-05-27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-05-09,2022-05-09,anonymous,,Lanificio Angelico,3181.001/16,250,,Yes,1946.1/991,2000,2022-06-10,Yes,1946.1/991,250,2022-05-31,Yes,2949.3/2,800,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022-05-12,2022-05-12,anonymous,,Canclini,D4037 0010,11640,2022-05-12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-05-16,2022-05-16,anonymous,,Lanificio Angelico,3181.001/16,250,2022-02-17,Yes,1946.1/991,2000,2022-05-31,Yes,1946.1/991,250,2022-05-31,Yes,2949.3/2,800,2022-03-05,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022-05-18,2022-05-18,anonymous,,Weba Weberei Appenzell AG,91129 1831 00,500,2022-06-03,Yes,91129 1831 14,500,2022-05-27,Yes,91711 6782 10,500,2022-05-27,Yes,91711 6781 10,500,2022-05-27,Yes,91711 6781 19,500,2022-05-27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022-05-25,2022-05-25,anonymous,,Tessilmaglia S.R.L.,TC2177 COL.867,99,2021-05-07,Yes,TC2177 COL.2356,73,2021-05-07,Yes,TC2177 COL 1370,240,2021-06-01,Yes,TC2159 COL.20914,128,2021-05-07,Yes,TC2159 COL.867,87,2021-05-07,Yes,TC2159 COL.888,156,2021-05-07,Yes,TC2159 COL.1188,189,2021-06-18,Yes,TC2159 COL.867,242,2021-06-18,Yes,TC2159 COL.1370,305,2021-06-18,,TC2062,31,2021-05-07,,,,,,,,Yes,,Yes,TC2159 COL.20914,267,2021-06-18,Yes,2021-06-18,TC2062 COL.4356,223,Yes,2021-07-23,TC2062 COL.115,288,No,,,,
8,2022-05-30,2022-05-30,anonymous,,Lanificio Subalpino s.r.l.,253T900 25,973.5,2022-05-31,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-05-30,2022-05-30,anonymous,,Lanificio Subalpino s.r.l.,253T900 159,148.2,2022-05-31,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022-06-02,2022-06-02,anonymous,,Lanificio Carlo Barbera S.R.L., P6536   - 4457f 229/1,850,2022-05-27,Yes, P6537  - 2035U 27/42,450,2022-05-27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022-06-17,2022-06-17,anonymous,,Lanificio Angelico,1946.1/991,2000,2022-06-30,Yes,1946.1/991,250,2022-05-31,Yes,2949.3/2,800,2022-03-05,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022-06-21,2022-06-21,anonymous,,Lanificio Angelico,2326.44/30,750,2022-06-24,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022-07-06,2022-07-06,anonymous,,Drago Lanificio in Biella,G208 022 11,51.7,2021-09-30,Yes,G027 733 02,101.7,2021-11-30,Yes,A407 058 17,668.2,2022-05-27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022-08-05,2022-08-05,anonymous,,Baird McNutt,Drumbeg.SeaSoft/Black,1000,2022-05-20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022-08-05,2022-08-05,anonymous,,Baird McNutt,Glenariff.SeaSoft/Ivory,100,2022-11-21,Yes,Glenariff.SeaSoft/Ivory,200,2023-02-07,Yes,Milestone.R237/4844,250,2022-11-21,Yes,Milestone.R237/4844,550,2023-02-07,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
